ds,brand,store_type,quantity,unit_price
08-01-2023,Cadbury,Mall,250,9.25
08-01-2023,Cadbury,Online,169,9.02
08-01-2023,Cadbury,Retail,121,8.98
08-01-2023,Ferrero,Airport,234,8.91
08-01-2023,Ferrero,Mall,174,8.58
08-01-2023,Ferrero,Online,207,8.87
08-01-2023,Ferrero,Retail,143,8.89
08-01-2023,Godiva,Airport,208,8.61
08-01-2023,Godiva,Mall,145,8.99
08-01-2023,Godiva,Online,181,8.88
08-01-2023,Godiva,Retail,144,8.23
08-01-2023,Hershey,Airport,148,9.13
08-01-2023,Hershey,Mall,185,8.99
08-01-2023,Hershey,Online,132,8.92
08-01-2023,Hershey,Retail,143,8.92
08-01-2023,Lindt,Airport,208,9.39
08-01-2023,Lindt,Mall,214,8.82
08-01-2023,Lindt,Online,159,8.92
08-01-2023,Lindt,Retail,105,9.17
08-01-2023,Mars,Airport,240,9.38
08-01-2023,Mars,Mall,215,8.94
08-01-2023,Mars,Online,224,8.73
08-01-2023,Mars,Retail,125,8.95
09-01-2023,Cadbury,Airport,220,8.56
09-01-2023,Cadbury,Mall,242,9.13
09-01-2023,Cadbury,Online,201,8.93
09-01-2023,Cadbury,Retail,160,9.67
09-01-2023,Ferrero,Airport,163,8.57
09-01-2023,Ferrero,Mall,173,9.17
09-01-2023,Ferrero,Online,203,9.45
09-01-2023,Ferrero,Retail,166,8.16
09-01-2023,Godiva,Airport,154,9.01
09-01-2023,Godiva,Mall,181,9.25
09-01-2023,Godiva,Online,155,9.88
09-01-2023,Godiva,Retail,103,9.69
09-01-2023,Hershey,Airport,190,8.47
09-01-2023,Hershey,Mall,141,9.08
09-01-2023,Hershey,Online,184,9.03
09-01-2023,Hershey,Retail,120,9.13
09-01-2023,Lindt,Airport,193,8.72
09-01-2023,Lindt,Mall,184,8.68
09-01-2023,Lindt,Online,121,9.68
09-01-2023,Lindt,Retail,83,9.23
09-01-2023,Mars,Airport,184,9.26
09-01-2023,Mars,Mall,177,8.89
09-01-2023,Mars,Online,157,8.07
09-01-2023,Mars,Retail,169,9.26
10-01-2023,Cadbury,Airport,192,9.58
10-01-2023,Cadbury,Mall,213,9.33
10-01-2023,Cadbury,Online,204,9.1
10-01-2023,Cadbury,Retail,127,9.28
10-01-2023,Ferrero,Airport,173,9.43
10-01-2023,Ferrero,Mall,179,9
10-01-2023,Ferrero,Online,187,8.89
10-01-2023,Ferrero,Retail,155,8.85
10-01-2023,Godiva,Airport,216,9
10-01-2023,Godiva,Mall,156,8.98
10-01-2023,Godiva,Online,170,9.04
10-01-2023,Godiva,Retail,87,8.49
10-01-2023,Hershey,Airport,211,8.93
10-01-2023,Hershey,Mall,154,8.82
10-01-2023,Hershey,Online,122,9.04
10-01-2023,Hershey,Retail,130,8.64
10-01-2023,Lindt,Airport,199,8.93
10-01-2023,Lindt,Mall,191,9.33
10-01-2023,Lindt,Online,147,9.11
10-01-2023,Lindt,Retail,107,8.7
10-01-2023,Mars,Airport,205,8.59
10-01-2023,Mars,Mall,195,8.79
10-01-2023,Mars,Online,183,9.81
10-01-2023,Mars,Retail,114,9.49
11-01-2023,Cadbury,Airport,236,9.26
11-01-2023,Cadbury,Mall,214,9.18
11-01-2023,Cadbury,Online,188,8.92
11-01-2023,Cadbury,Retail,106,9.06
11-01-2023,Ferrero,Airport,194,9.57
11-01-2023,Ferrero,Mall,225,8.2
11-01-2023,Ferrero,Online,219,7.84
11-01-2023,Ferrero,Retail,131,9.75
11-01-2023,Godiva,Airport,161,8.59
11-01-2023,Godiva,Mall,142,9.49
11-01-2023,Godiva,Online,138,8.92
11-01-2023,Godiva,Retail,116,9.2
11-01-2023,Hershey,Airport,192,8.48
11-01-2023,Hershey,Mall,149,9.12
11-01-2023,Hershey,Online,167,8.72
11-01-2023,Hershey,Retail,129,8.51
11-01-2023,Lindt,Airport,247,9.23
11-01-2023,Lindt,Mall,193,9.08
11-01-2023,Lindt,Online,212,8.8
11-01-2023,Lindt,Retail,133,8.47
11-01-2023,Mars,Airport,239,9.51
11-01-2023,Mars,Mall,188,9.02
11-01-2023,Mars,Online,209,9.3
11-01-2023,Mars,Retail,102,8.38
12-01-2023,Cadbury,Airport,216,8.9
12-01-2023,Cadbury,Mall,205,8.88
12-01-2023,Cadbury,Online,162,8.85
12-01-2023,Cadbury,Retail,182,9.12
12-01-2023,Ferrero,Airport,242,9.57
12-01-2023,Ferrero,Mall,183,8.83
12-01-2023,Ferrero,Online,186,8.99
12-01-2023,Ferrero,Retail,140,8.46
12-01-2023,Godiva,Airport,191,8.85
12-01-2023,Godiva,Mall,134,8.81
12-01-2023,Godiva,Online,218,9.74
12-01-2023,Godiva,Retail,88,8.92
12-01-2023,Hershey,Airport,147,9.76
12-01-2023,Hershey,Mall,176,9.87
12-01-2023,Hershey,Online,165,9.17
12-01-2023,Hershey,Retail,105,9.77
12-01-2023,Lindt,Airport,213,8.76
12-01-2023,Lindt,Mall,176,9.08
12-01-2023,Lindt,Online,171,8.94
12-01-2023,Lindt,Retail,164,8.85
12-01-2023,Mars,Airport,212,8.68
12-01-2023,Mars,Mall,188,9.65
12-01-2023,Mars,Online,179,8.99
12-01-2023,Mars,Retail,180,9.17
13-01-2023,Cadbury,Airport,233,8.47
13-01-2023,Cadbury,Mall,208,9.65
13-01-2023,Cadbury,Online,194,9.1
13-01-2023,Cadbury,Retail,139,8.79
13-01-2023,Ferrero,Airport,266,9.08
13-01-2023,Ferrero,Mall,219,8.68
13-01-2023,Ferrero,Online,207,9.6
13-01-2023,Ferrero,Retail,151,8.67
13-01-2023,Godiva,Airport,211,8.97
13-01-2023,Godiva,Mall,165,9.35
13-01-2023,Godiva,Online,155,8.98
13-01-2023,Godiva,Retail,117,9.39
13-01-2023,Hershey,Airport,139,9.79
13-01-2023,Hershey,Mall,115,9.58
13-01-2023,Hershey,Online,123,9.39
13-01-2023,Hershey,Retail,94,8.22
13-01-2023,Lindt,Airport,270,8.96
13-01-2023,Lindt,Mall,184,8.79
13-01-2023,Lindt,Online,152,9.21
13-01-2023,Lindt,Retail,90,9.12
13-01-2023,Mars,Airport,216,8.98
13-01-2023,Mars,Mall,165,9.17
13-01-2023,Mars,Online,175,9
13-01-2023,Mars,Retail,132,9.23
14-01-2023,Cadbury,Airport,246,9.02
14-01-2023,Cadbury,Mall,166,9.5
14-01-2023,Cadbury,Online,182,8.58
14-01-2023,Cadbury,Retail,130,8.56
14-01-2023,Ferrero,Airport,202,8.88
14-01-2023,Ferrero,Mall,179,9.64
14-01-2023,Ferrero,Online,246,8.77
14-01-2023,Ferrero,Retail,187,9.39
14-01-2023,Godiva,Airport,182,8.08
14-01-2023,Godiva,Mall,206,8.94
14-01-2023,Godiva,Online,161,8.69
14-01-2023,Godiva,Retail,96,9.61
14-01-2023,Hershey,Airport,179,8.93
14-01-2023,Hershey,Mall,146,8.9
14-01-2023,Hershey,Online,142,8.48
14-01-2023,Hershey,Retail,118,9.53
14-01-2023,Lindt,Airport,259,9.14
14-01-2023,Lindt,Mall,198,8.8
14-01-2023,Lindt,Online,184,8.77
14-01-2023,Lindt,Retail,110,9.8
14-01-2023,Mars,Airport,252,8.84
14-01-2023,Mars,Mall,182,8.81
14-01-2023,Mars,Online,185,9.72
14-01-2023,Mars,Retail,108,9.02
15-01-2023,Cadbury,Airport,228,8.69
15-01-2023,Cadbury,Mall,206,9.68
15-01-2023,Cadbury,Online,212,8.95
15-01-2023,Cadbury,Retail,190,8.74
15-01-2023,Ferrero,Airport,243,9.85
15-01-2023,Ferrero,Mall,233,8.73
15-01-2023,Ferrero,Online,221,9.05
15-01-2023,Ferrero,Retail,129,9.46
15-01-2023,Godiva,Airport,182,8.96
15-01-2023,Godiva,Mall,143,8.8
15-01-2023,Godiva,Online,133,8.93
15-01-2023,Godiva,Retail,100,8.68
15-01-2023,Hershey,Airport,200,8.9
15-01-2023,Hershey,Mall,169,9.2
15-01-2023,Hershey,Online,159,8.73
15-01-2023,Hershey,Retail,97,7.81
15-01-2023,Lindt,Airport,216,9.93
15-01-2023,Lindt,Mall,217,8.12
15-01-2023,Lindt,Online,135,8.96
15-01-2023,Lindt,Retail,140,8.84
15-01-2023,Mars,Airport,207,9.54
15-01-2023,Mars,Mall,194,9.13
15-01-2023,Mars,Online,188,8.83
15-01-2023,Mars,Retail,154,9.33
16-01-2023,Cadbury,Airport,238,8.85
16-01-2023,Cadbury,Mall,172,9.19
16-01-2023,Cadbury,Online,172,9.21
16-01-2023,Cadbury,Retail,146,8.54
16-01-2023,Ferrero,Airport,261,9.1
16-01-2023,Ferrero,Mall,185,8.54
16-01-2023,Ferrero,Online,222,8.78
16-01-2023,Ferrero,Retail,153,9.51
16-01-2023,Godiva,Airport,177,8.13
16-01-2023,Godiva,Mall,121,8.89
16-01-2023,Godiva,Online,129,8.39
16-01-2023,Godiva,Retail,123,9.47
16-01-2023,Hershey,Airport,161,8.83
16-01-2023,Hershey,Mall,142,9.27
16-01-2023,Hershey,Online,190,8.49
16-01-2023,Hershey,Retail,95,8.68
16-01-2023,Lindt,Airport,223,9.49
16-01-2023,Lindt,Mall,127,10.19
16-01-2023,Lindt,Online,167,8.43
16-01-2023,Lindt,Retail,142,8.78
16-01-2023,Mars,Airport,234,9.63
16-01-2023,Mars,Mall,210,9.12
16-01-2023,Mars,Online,209,8.8
16-01-2023,Mars,Retail,137,8.34
17-01-2023,Cadbury,Airport,261,9.28
17-01-2023,Cadbury,Mall,219,9.71
17-01-2023,Cadbury,Online,161,8.39
17-01-2023,Cadbury,Retail,120,8.87
17-01-2023,Ferrero,Airport,219,9.14
17-01-2023,Ferrero,Mall,175,9.03
17-01-2023,Ferrero,Online,208,8.9
17-01-2023,Ferrero,Retail,163,8.83
17-01-2023,Godiva,Airport,184,10.07
17-01-2023,Godiva,Mall,121,8.46
17-01-2023,Godiva,Online,141,9.83
17-01-2023,Godiva,Retail,139,8.76
17-01-2023,Hershey,Airport,163,9.93
17-01-2023,Hershey,Mall,142,9.42
17-01-2023,Hershey,Online,179,9.07
17-01-2023,Hershey,Retail,115,9.43
17-01-2023,Lindt,Airport,240,8.94
17-01-2023,Lindt,Mall,164,8.95
17-01-2023,Lindt,Online,160,10.12
17-01-2023,Lindt,Retail,132,9.09
17-01-2023,Mars,Airport,171,9.38
17-01-2023,Mars,Mall,175,9.63
17-01-2023,Mars,Online,191,8.91
17-01-2023,Mars,Retail,139,9
18-01-2023,Cadbury,Airport,224,9.33
18-01-2023,Cadbury,Mall,226,8.61
18-01-2023,Cadbury,Online,246,9.4
18-01-2023,Cadbury,Retail,172,9.01
18-01-2023,Ferrero,Airport,221,8.92
18-01-2023,Ferrero,Mall,189,9
18-01-2023,Ferrero,Online,149,9.16
18-01-2023,Ferrero,Retail,102,8.5
18-01-2023,Godiva,Airport,203,9.2
18-01-2023,Godiva,Mall,152,9.33
18-01-2023,Godiva,Online,139,9.05
18-01-2023,Godiva,Retail,106,8.98
18-01-2023,Hershey,Airport,179,8.85
18-01-2023,Hershey,Mall,177,9.13
18-01-2023,Hershey,Online,154,8.71
18-01-2023,Hershey,Retail,108,9.15
18-01-2023,Lindt,Airport,200,9.12
18-01-2023,Lindt,Mall,241,9.36
18-01-2023,Lindt,Online,150,9.18
18-01-2023,Lindt,Retail,100,8.68
18-01-2023,Mars,Airport,236,9.18
18-01-2023,Mars,Mall,171,9.29
18-01-2023,Mars,Online,156,9.66
18-01-2023,Mars,Retail,172,8.76
19-01-2023,Cadbury,Airport,210,9.78
19-01-2023,Cadbury,Mall,216,9.29
19-01-2023,Cadbury,Online,158,9.34
19-01-2023,Cadbury,Retail,146,9.03
19-01-2023,Ferrero,Airport,178,9.4
19-01-2023,Ferrero,Mall,155,9.28
19-01-2023,Ferrero,Online,220,8.78
19-01-2023,Ferrero,Retail,140,8.4
19-01-2023,Godiva,Airport,175,8.92
19-01-2023,Godiva,Mall,164,9.17
19-01-2023,Godiva,Online,119,9.96
19-01-2023,Godiva,Retail,114,9.25
19-01-2023,Hershey,Airport,150,8.86
19-01-2023,Hershey,Mall,207,9.78
19-01-2023,Hershey,Online,137,8.96
19-01-2023,Hershey,Retail,148,8.4
19-01-2023,Lindt,Airport,226,9.09
19-01-2023,Lindt,Mall,167,9.69
19-01-2023,Lindt,Online,219,9.28
19-01-2023,Lindt,Retail,116,9.86
19-01-2023,Mars,Airport,171,8.89
19-01-2023,Mars,Mall,167,8.91
19-01-2023,Mars,Online,177,8.78
19-01-2023,Mars,Retail,125,8.57
20-01-2023,Cadbury,Airport,228,8.8
20-01-2023,Cadbury,Mall,174,9.09
20-01-2023,Cadbury,Online,229,9.92
20-01-2023,Cadbury,Retail,155,9.17
20-01-2023,Ferrero,Airport,273,9.15
20-01-2023,Ferrero,Mall,206,9.59
20-01-2023,Ferrero,Online,179,9.66
20-01-2023,Ferrero,Retail,146,8.57
20-01-2023,Godiva,Airport,190,9.17
20-01-2023,Godiva,Mall,204,8.73
20-01-2023,Godiva,Online,151,8.48
20-01-2023,Godiva,Retail,141,8.7
20-01-2023,Hershey,Airport,165,8.57
20-01-2023,Hershey,Mall,154,9.63
20-01-2023,Hershey,Online,132,8.49
20-01-2023,Hershey,Retail,95,9.32
20-01-2023,Lindt,Airport,218,9.19
20-01-2023,Lindt,Mall,177,9.24
20-01-2023,Lindt,Online,125,10.01
20-01-2023,Lindt,Retail,107,9.57
20-01-2023,Mars,Airport,222,9.1
20-01-2023,Mars,Mall,216,9.76
20-01-2023,Mars,Online,219,8.82
20-01-2023,Mars,Retail,154,9.44
21-01-2023,Cadbury,Airport,202,9.39
21-01-2023,Cadbury,Mall,221,8.94
21-01-2023,Cadbury,Online,207,8.73
21-01-2023,Cadbury,Retail,132,9.6
21-01-2023,Ferrero,Airport,195,9.14
21-01-2023,Ferrero,Mall,190,8.55
21-01-2023,Ferrero,Online,157,8.69
21-01-2023,Ferrero,Retail,197,8.71
21-01-2023,Godiva,Airport,179,8.74
21-01-2023,Godiva,Mall,168,9.45
21-01-2023,Godiva,Online,116,7.99
21-01-2023,Godiva,Retail,156,7.72
21-01-2023,Hershey,Airport,183,9.73
21-01-2023,Hershey,Mall,174,8.42
21-01-2023,Hershey,Online,111,9.55
21-01-2023,Hershey,Retail,131,9.18
21-01-2023,Lindt,Airport,246,9.25
21-01-2023,Lindt,Mall,222,9.4
21-01-2023,Lindt,Online,150,8.8
21-01-2023,Lindt,Retail,151,9.08
21-01-2023,Mars,Airport,205,8.72
21-01-2023,Mars,Mall,237,8.48
21-01-2023,Mars,Online,131,8.85
21-01-2023,Mars,Retail,117,9.29
22-01-2023,Cadbury,Airport,232,8.78
22-01-2023,Cadbury,Mall,215,8.83
22-01-2023,Cadbury,Online,188,8.81
22-01-2023,Cadbury,Retail,152,7.99
22-01-2023,Ferrero,Airport,269,7.86
22-01-2023,Ferrero,Mall,206,8.69
22-01-2023,Ferrero,Online,193,9.76
22-01-2023,Ferrero,Retail,203,8.68
22-01-2023,Godiva,Airport,178,8.71
22-01-2023,Godiva,Mall,176,8.25
22-01-2023,Godiva,Online,179,8.79
22-01-2023,Godiva,Retail,112,9.3
22-01-2023,Hershey,Airport,155,9.39
22-01-2023,Hershey,Mall,183,8.85
22-01-2023,Hershey,Online,151,8.72
22-01-2023,Hershey,Retail,119,8.98
22-01-2023,Lindt,Airport,204,8.73
22-01-2023,Lindt,Mall,189,9.98
22-01-2023,Lindt,Online,168,8.18
22-01-2023,Lindt,Retail,148,8.52
22-01-2023,Mars,Airport,181,8.66
22-01-2023,Mars,Mall,170,9
22-01-2023,Mars,Online,105,9.68
22-01-2023,Mars,Retail,143,8.62
23-01-2023,Cadbury,Airport,228,9.13
23-01-2023,Cadbury,Mall,171,9.55
23-01-2023,Cadbury,Online,155,9.11
23-01-2023,Cadbury,Retail,167,8.63
23-01-2023,Ferrero,Airport,249,9.3
23-01-2023,Ferrero,Mall,188,8.44
23-01-2023,Ferrero,Online,211,8.98
23-01-2023,Ferrero,Retail,129,8.63
23-01-2023,Godiva,Airport,214,8.98
23-01-2023,Godiva,Mall,126,9.27
23-01-2023,Godiva,Online,174,9.2
23-01-2023,Godiva,Retail,110,8.94
23-01-2023,Hershey,Airport,135,8.73
23-01-2023,Hershey,Mall,171,8.99
23-01-2023,Hershey,Online,149,8.9
23-01-2023,Hershey,Retail,91,9.91
23-01-2023,Lindt,Airport,203,9.07
23-01-2023,Lindt,Mall,207,9.07
23-01-2023,Lindt,Online,132,9.03
23-01-2023,Lindt,Retail,127,9.3
23-01-2023,Mars,Airport,230,8.54
23-01-2023,Mars,Mall,201,9.23
23-01-2023,Mars,Online,151,9.32
23-01-2023,Mars,Retail,179,10.12
24-01-2023,Cadbury,Airport,232,8.43
24-01-2023,Cadbury,Mall,190,8.9
24-01-2023,Cadbury,Online,238,8.95
24-01-2023,Cadbury,Retail,137,9.34
24-01-2023,Ferrero,Airport,178,9.18
24-01-2023,Ferrero,Mall,203,9.69
24-01-2023,Ferrero,Online,162,8.46
24-01-2023,Ferrero,Retail,150,9.2
24-01-2023,Godiva,Airport,186,9.18
24-01-2023,Godiva,Mall,179,8.89
24-01-2023,Godiva,Online,161,8.24
24-01-2023,Godiva,Retail,99,8.74
24-01-2023,Hershey,Airport,140,9
24-01-2023,Hershey,Mall,183,8.9
24-01-2023,Hershey,Online,108,8.28
24-01-2023,Hershey,Retail,94,8.74
24-01-2023,Lindt,Airport,204,8.86
24-01-2023,Lindt,Mall,188,8.8
24-01-2023,Lindt,Online,179,9.3
24-01-2023,Lindt,Retail,92,9.7
24-01-2023,Mars,Airport,216,8.87
24-01-2023,Mars,Mall,144,9.4
24-01-2023,Mars,Online,174,8.24
24-01-2023,Mars,Retail,155,8.36
25-01-2023,Cadbury,Airport,236,8.23
25-01-2023,Cadbury,Mall,258,9.32
25-01-2023,Cadbury,Online,188,9.34
25-01-2023,Cadbury,Retail,171,8.57
25-01-2023,Ferrero,Airport,246,9.17
25-01-2023,Ferrero,Mall,168,8.6
25-01-2023,Ferrero,Online,169,8.56
25-01-2023,Ferrero,Retail,174,8.65
25-01-2023,Godiva,Airport,173,9.34
25-01-2023,Godiva,Mall,164,9.88
25-01-2023,Godiva,Online,166,9.58
25-01-2023,Godiva,Retail,95,9.4
25-01-2023,Hershey,Airport,208,9.02
25-01-2023,Hershey,Mall,164,8.88
25-01-2023,Hershey,Online,140,9.48
25-01-2023,Hershey,Retail,90,8.61
25-01-2023,Lindt,Airport,218,9.3
25-01-2023,Lindt,Mall,159,9.65
25-01-2023,Lindt,Online,152,8.96
25-01-2023,Lindt,Retail,161,9.64
25-01-2023,Mars,Airport,233,8.69
25-01-2023,Mars,Mall,192,9.35
25-01-2023,Mars,Online,158,8.8
25-01-2023,Mars,Retail,132,8.24
26-01-2023,Cadbury,Airport,220,8.96
26-01-2023,Cadbury,Mall,150,8.89
26-01-2023,Cadbury,Online,247,9.04
26-01-2023,Cadbury,Retail,121,10.15
26-01-2023,Ferrero,Airport,177,9.93
26-01-2023,Ferrero,Mall,221,8.89
26-01-2023,Ferrero,Online,214,8.53
26-01-2023,Ferrero,Retail,150,9.58
26-01-2023,Godiva,Airport,227,8.93
26-01-2023,Godiva,Mall,129,8.53
26-01-2023,Godiva,Online,163,9.38
26-01-2023,Godiva,Retail,147,8.68
26-01-2023,Hershey,Airport,171,9.63
26-01-2023,Hershey,Mall,171,9.61
26-01-2023,Hershey,Online,177,7.99
26-01-2023,Hershey,Retail,93,9.64
26-01-2023,Lindt,Airport,251,9.59
26-01-2023,Lindt,Mall,178,8.99
26-01-2023,Lindt,Online,165,9.31
26-01-2023,Lindt,Retail,115,9.21
26-01-2023,Mars,Airport,223,9.21
26-01-2023,Mars,Mall,163,8.33
26-01-2023,Mars,Online,156,9.11
26-01-2023,Mars,Retail,105,8.62
27-01-2023,Cadbury,Airport,259,9.65
27-01-2023,Cadbury,Mall,202,9.12
27-01-2023,Cadbury,Online,180,9.97
27-01-2023,Cadbury,Retail,120,8.28
27-01-2023,Ferrero,Airport,199,9.2
27-01-2023,Ferrero,Mall,181,9.42
27-01-2023,Ferrero,Online,192,9.46
27-01-2023,Ferrero,Retail,143,8.82
27-01-2023,Godiva,Airport,170,9.52
27-01-2023,Godiva,Mall,155,9.53
27-01-2023,Godiva,Online,120,9.35
27-01-2023,Godiva,Retail,144,9.06
27-01-2023,Hershey,Airport,171,8.73
